index_id;index;read;hit;data_hora
16402;fornecedor_pkey;0;0;2021-10-09T14:17:51.512610400
16410;comprador_pkey;0;0;2021-10-09T14:17:51.512610400
16415;pedido_pkey;0;0;2021-10-09T14:17:51.512610400
24590;pessoa_fisica_pkey;0;0;2021-10-09T14:17:51.512610400
16397;endereco_pkey;0;0;2021-10-09T14:17:51.512610400
16402;fornecedor_pkey;0;0;2021-10-09T14:36:45.570421400
16410;comprador_pkey;0;0;2021-10-09T14:36:45.570921300
16415;pedido_pkey;0;0;2021-10-09T14:36:45.571421500
24590;pessoa_fisica_pkey;0;0;2021-10-09T14:36:45.571421500
16397;endereco_pkey;0;0;2021-10-09T14:36:45.571421500
13301;pg_toast_13297_index;0;0;2021-10-09T14:50:01.470476200
16402;fornecedor_pkey;0;0;2021-10-09T14:50:01.470476200
16410;comprador_pkey;0;0;2021-10-09T14:50:01.471108100
16415;pedido_pkey;0;0;2021-10-09T14:50:01.471108100
24590;pessoa_fisica_pkey;0;0;2021-10-09T14:50:01.471108100
4160;pg_toast_2600_index;0;0;2021-10-09T14:50:01.471108100
2831;pg_toast_2604_index;0;0;2021-10-09T14:50:01.471108100
4162;pg_toast_3456_index;0;0;2021-10-09T14:50:01.471108100
2833;pg_toast_2606_index;0;0;2021-10-09T14:50:01.471108100
4144;pg_toast_826_index;0;0;2021-10-09T14:50:01.471108100
2835;pg_toast_2609_index;0;0;2021-10-09T14:50:01.471108100
4146;pg_toast_3466_index;0;0;2021-10-09T14:50:01.471108100
4148;pg_toast_3079_index;0;0;2021-10-09T14:50:01.471108100
4150;pg_toast_2328_index;0;0;2021-10-09T14:50:01.471108100
4152;pg_toast_1417_index;0;0;2021-10-09T14:50:01.471609700
4154;pg_toast_3118_index;0;0;2021-10-09T14:50:01.471609700
4156;pg_toast_3394_index;0;0;2021-10-09T14:50:01.471609700
4158;pg_toast_2612_index;0;0;2021-10-09T14:50:01.471609700
4164;pg_toast_2615_index;0;0;2021-10-09T14:50:01.471609700
4166;pg_toast_3350_index;0;0;2021-10-09T14:50:01.471609700
4168;pg_toast_3256_index;0;0;2021-10-09T14:50:01.471609700
2837;pg_toast_1255_index;0;0;2021-10-09T14:50:01.471609700
113;pg_foreign_server_oid_index;0;0;2021-10-09T14:50:01.471609700
549;pg_foreign_server_name_index;0;0;2021-10-09T14:50:01.471609700
174;pg_user_mapping_oid_index;0;0;2021-10-09T14:50:01.471609700
175;pg_user_mapping_user_server_index;0;0;2021-10-09T14:50:01.471609700
3119;pg_foreign_table_relid_index;0;0;2021-10-09T14:50:01.471609700
827;pg_default_acl_role_nsp_obj_index;0;0;2021-10-09T14:50:01.471609700
828;pg_default_acl_oid_index;0;0;2021-10-09T14:50:01.471609700
3597;pg_seclabel_object_index;0;0;2021-10-09T14:50:01.471609700
3593;pg_shseclabel_object_index;0;0;2021-10-09T14:50:01.471609700
3080;pg_extension_oid_index;0;0;2021-10-09T14:50:01.471609700
3081;pg_extension_name_index;0;0;2021-10-09T14:50:01.472109800
3542;pg_range_rngtypid_index;0;0;2021-10-09T14:50:01.472109800
3257;pg_policy_oid_index;0;0;2021-10-09T14:50:01.472109800
3258;pg_policy_polrelid_polname_index;0;0;2021-10-09T14:50:01.472109800
6001;pg_replication_origin_roiident_index;0;0;2021-10-09T14:50:01.472109800
6002;pg_replication_origin_roname_index;0;0;2021-10-09T14:50:01.472109800
3351;pg_partitioned_table_partrelid_index;0;0;2021-10-09T14:50:01.472109800
6110;pg_publication_oid_index;0;0;2021-10-09T14:50:01.472109800
6111;pg_publication_pubname_index;0;0;2021-10-09T14:50:01.472109800
6112;pg_publication_rel_oid_index;0;0;2021-10-09T14:50:01.472109800
6113;pg_publication_rel_prrelid_prpubid_index;0;0;2021-10-09T14:50:01.472109800
6114;pg_subscription_oid_index;0;0;2021-10-09T14:50:01.472109800
6115;pg_subscription_subname_index;0;0;2021-10-09T14:50:01.472109800
6117;pg_subscription_rel_srrelid_srsubid_index;0;0;2021-10-09T14:50:01.472109800
13306;pg_toast_13302_index;0;0;2021-10-09T14:50:01.472109800
13311;pg_toast_13307_index;0;0;2021-10-09T14:50:01.472109800
13296;pg_toast_13292_index;0;0;2021-10-09T14:50:01.472109800
16397;endereco_pkey;0;0;2021-10-09T14:50:01.472109800
3599;pg_toast_3596_index;0;0;2021-10-09T14:50:01.472610400
2841;pg_toast_2619_index;0;0;2021-10-09T14:50:01.472610400
3440;pg_toast_3381_index;0;0;2021-10-09T14:50:01.472610400
3431;pg_toast_3429_index;0;0;2021-10-09T14:50:01.472610400
2337;pg_toast_2620_index;0;0;2021-10-09T14:50:01.472610400
4170;pg_toast_3600_index;0;0;2021-10-09T14:50:01.472610400
4172;pg_toast_1247_index;0;0;2021-10-09T14:50:01.472610400
4174;pg_toast_1418_index;0;0;2021-10-09T14:50:01.472610400
4176;pg_toast_1260_index;0;0;2021-10-09T14:50:01.472610400
4178;pg_toast_1262_index;0;0;2021-10-09T14:50:01.472610400
2967;pg_toast_2964_index;0;0;2021-10-09T14:50:01.472610400
4182;pg_toast_6000_index;0;0;2021-10-09T14:50:01.472610400
2847;pg_toast_2396_index;0;0;2021-10-09T14:50:01.472610400
4061;pg_toast_3592_index;0;0;2021-10-09T14:50:01.472610400
4184;pg_toast_6100_index;0;0;2021-10-09T14:50:01.472610400
4186;pg_toast_1213_index;0;0;2021-10-09T14:50:01.472610400
2650;pg_aggregate_fnoid_index;0;0;2021-10-09T14:50:01.473110100
2651;pg_am_name_index;0;0;2021-10-09T14:50:01.473110100
2652;pg_am_oid_index;0;0;2021-10-09T14:50:01.473110100
2756;pg_amop_oid_index;0;0;2021-10-09T14:50:01.473110100
2757;pg_amproc_oid_index;0;0;2021-10-09T14:50:01.473110100
2656;pg_attrdef_adrelid_adnum_index;0;0;2021-10-09T14:50:01.473110100
